"V1","V2","V3","V4","V5"
2365,12102,42700,17348,4819
10071,17168,21014,5110,7831
15228,7025,4980,5351,42881
32228,34281,1387,18845,24131
41406,28654,36164,21125,19448
10395,24152,17009,14681,4133
35877,39645,5200,19565,13556
2561,41486,18161,40567,13503
42865,22718,45851,21266,11972
33565,18495,22975,24751,39673
24282,24848,21197,40574,24698
3664,24153,29084,19603,3264
9988,5854,1594,10287,14458
4386,44276,4360,7115,15591
6061,43213,22056,14529,28436
36964,6733,13311,19520,1262
37304,21147,42775,32199,23229
28673,9488,13698,13544,43021
3595,6844,32799,7717,41487
27580,34607,25374,30849,4002
35414,38630,28046,5960,43013
19650,17533,27745,9613,6550
35695,22754,41233,23193,43764
18557,3005,39781,28645,15335
27186,4088,43641,26063,1103
33019,31704,17470,30208,32476
26995,38304,16543,45326,5334
30686,20548,41555,34913,15194
16579,17787,389,31378,28035
6857,13599,36481,17103,22643
43228,34457,14623,22320,8900
31005,30069,33435,18628,2482
26724,7573,893,30461,26730
18451,6039,14680,10594,12960
23375,1826,11343,41402,39495
32583,36319,13097,21159,40093
29438,46093,37493,29238,13315
28460,33501,40911,17489,23318
6056,30969,93,42168,32252
37276,7196,4349,10393,28666
4165,23013,32860,3286,1057
41209,25606,18343,37747,28155
37513,39519,45247,41584,11130
38765,4874,2524,29736,25068
4962,1820,36996,38309,33858
34788,5186,34235,6131,27651
17871,44598,4079,1360,7671
41126,29236,16206,751,24128
45859,25885,21957,12128,15610
22389,31028,10079,30532,2524
26718,28887,3223,43276,23874
19715,41670,21689,12147,15772
3096,16481,15780,31023,7365
44029,15463,40138,42164,29159
14181,16922,1611,11292,40718
44038,13513,31440,15843,8988
2835,28502,31670,45615,29609
30130,7687,21045,24066,19560
18052,41691,28465,37647,8755
43835,41172,26796,28735,33861
2280,13549,7700,38636,16204
6788,40649,10354,43618,10478
37831,17481,5815,29327,8563
45356,4594,41640,31036,25412
29629,33219,10474,27501,24871
27157,38971,29368,13412,12845
5637,11177,31303,41303,40754
44525,40794,12042,39996,11513
20471,12050,14182,12754,44656
30202,9426,31620,45187,22098
10096,24815,35337,21682,1547
24296,29506,28382,14993,41619
8265,28024,44567,38670,43125
23721,31600,29742,25505,10971
24683,27831,32698,35369,20246
26468,24448,11485,20657,13294
15236,18380,25656,40520,17415
8808,39530,2396,29530,35183
21042,38517,8991,35203,46063
24737,15219,7908,11977,32776
19351,26283,16383,42760,38735
16351,29729,30030,5676,24978
17283,7865,44597,16488,22323
1070,33706,10052,35883,7982
19252,42904,2667,29599,20056
18178,19958,42651,3413,9597
28693,17178,2255,16312,21538
39905,4706,31066,23541,18152
18399,1137,17403,4888,6405
10043,41551,28191,36854,5170
100,14594,266,8667,30674
442,3895,15033,11001,8782
19854,37533,18778,13470,43032
30955,7696,37983,3394,46072
28607,9175,22534,35488,43660
38326,42565,27978,11814,18767
42987,34306,22502,44808,29275
8212,11810,31377,26056,23341
32278,3662,11245,1130,4951
30201,7787,10181,23093,23755
687,17275,9080,44984,37482
17396,13833,37567,19072,27247
1902,41173,12843,34716,3667
3912,14423,21592,35574,15237
484,32994,23201,44859,44059
25040,26409,8174,39608,43830
43339,43633,15329,32091,28338
36738,39212,14577,11533,28396
37391,23301,35209,4186,7529
28163,33578,12980,39209,12562
34969,21350,2222,3712,9920
41273,437,42529,38007,31999
1001,30647,13685,32471,31004
33294,8279,15399,45836,20679
41413,28961,29704,3025,15949
14749,34719,21356,25317,17617
3,86,35178,7496,4338
44959,16836,43532,35011,21413
30789,35460,23844,44609,17693
1955,32008,30287,38717,44949
25709,2926,33903,16197,845
37920,41252,27220,9807,5567
19645,15722,15535,5950,39909
17293,25091,28241,10381,4206
20836,10055,10774,9525,37156
1228,15918,23150,18044,32046
25038,38047,16894,37357,21038
14396,42849,9949,40507,45812
17759,4658,45836,21477,34725
37572,12934,27001,16598,35938
32217,38652,42786,34841,1834
11623,9861,20592,41030,20580
1418,17527,41455,663,45086
41604,38280,42083,19010,31334
16098,35443,6882,28547,8985
43277,7700,24954,9326,42861
15356,43519,36542,15761,22520
36086,26956,22489,11178,22900
25879,26176,24347,34392,31904
11132,24832,21682,19023,20269
16794,935,26171,33346,31032
46038,23626,43777,6359,2142
19716,19297,18464,29801,41501
25950,21201,18687,30934,27831
40490,10877,7805,26191,35265
25258,45686,4286,8736,24917
41276,36026,38486,19567,40889
26084,6745,11614,36039,3691
33626,44541,4647,45445,21737
37600,29658,1166,20598,2048
36621,38822,42710,31876,5272
16063,3723,30940,33161,20654
20717,37558,18852,42133,15980
28043,30557,12006,43392,33176
19498,2523,29960,5251,31633
992,23390,15762,43664,24605
7098,29247,2965,11368,34854
4638,14309,6826,25345,16173
44007,27511,32983,20634,30503
13990,34544,4234,34745,19570
19469,3692,38906,21791,37288
19448,43008,2659,8038,32254
6195,26107,20855,6979,43768
23571,31453,38116,20374,17819
26134,37843,38332,43,31473
35716,12325,31734,27070,38004
5843,36993,28762,28051,21609
36498,26632,45363,6327,27655
7260,38958,19672,7660,12946
33782,42506,25490,34561,39263
10524,11603,39150,5767,21488
13455,1434,4882,8980,8495
38687,19737,15301,29882,132
32281,40091,19600,44405,31815
44963,14146,44364,1730,41409
30866,29437,31043,40814,8362
38170,19648,12092,14992,7682
45550,28713,16505,38875,21412
36303,3991,14429,44047,1815
32824,22609,4186,10593,37736
5470,27551,753,30255,1417
44233,32843,35748,17422,42202
30756,8642,40998,32993,29749
15624,15430,26803,30784,18116
25783,11518,27909,655,20172
1375,11939,26988,17996,15777
2353,23759,14777,17390,28754
21963,35388,21692,37424,28717
23267,34472,21419,9983,14245
26044,499,6827,22379,3874
12835,42694,5666,44512,44079
41771,25890,31145,32934,7788
22500,38636,21435,12097,40338
3764,31213,42821,42603,32447
21255,15565,6544,41317,5008
27246,43894,33999,7399,5211
43470,39511,16130,32840,15727
7529,28189,6145,33097,43485
34533,44954,44176,1724,38593
17344,33592,13930,490,45488
1022,36236,18573,44571,5727
26273,3443,1059,20766,10896
13156,17635,41986,43624,18924
26224,14579,12517,29038,25980
14692,19855,21524,21418,4680
44303,28524,36522,30510,1008
42819,9471,28036,23650,26301
2624,16064,18251,37117,2010
30256,1940,28437,7914,25647
33129,32363,18540,2402,36350
17186,36852,13443,43303,20662
10277,45671,26529,40540,31696
11708,12501,36969,3953,34970
19206,25810,44477,10713,34527
41224,34547,141,26448,4367
27073,33581,19860,20476,15782
13697,35917,36562,36603,36104
7237,20823,45855,29944,26646
20676,7433,45270,38177,31627
44827,13194,2357,26556,6710
8498,4640,38584,28218,43786
11517,32192,23066,39792,15515
42548,20958,25962,15312,3870
40998,10408,42416,4310,42650
20624,3845,43097,14029,27142
177,42897,30992,35836,41638
10246,19473,34177,41109,40956
42944,14823,23293,23222,37626
16368,6734,15709,26051,16802
23049,29277,18797,22766,12986
25981,36455,38749,11857,31361
17854,26512,32388,25687,38980
8287,43440,30015,41199,6826
10579,12708,17466,993,15488
40221,5743,44834,6804,28550
7896,25417,35880,9876,16892
9763,29675,36035,3032,42314
8439,23655,16516,17032,38657
17619,8383,2318,28977,11685
2321,42053,27994,19399,7056
30381,17874,32621,35792,41462
8925,17136,27433,21716,14829
20558,4590,4136,28636,24754
38358,2076,42925,3270,4012
35292,18078,26227,11421,20737
31410,14899,42509,11565,33742
24835,35153,20102,20150,15912
2437,46043,13946,2315,18275
23837,1610,1362,42129,17824
7167,18313,34867,41587,3248
38404,14828,34736,12088,35515
36132,5200,28450,7124,39420
40549,17057,19793,26761,6702
17249,18509,43718,20593,29176
10048,33542,30053,1484,31175
43686,14945,35300,43302,9259
19263,11792,18331,7585,21524
8803,29794,1853,10724,32792
6010,27255,3625,29402,1571
19988,15445,15834,40434,28070
25696,28099,390,26976,2700
40305,46013,32286,44547,31539
37018,1282,15646,23624,10763
4158,15061,7655,23059,17145
29988,17399,41276,10706,43276
6769,6131,4883,19039,22346
38455,14289,43610,10336,11211
36619,41719,11818,40455,33752
10870,4585,34534,4277,5906
41390,14231,33653,2689,26068
20929,9481,31125,40950,1933
41137,11027,23400,38953,17513
23757,23176,7436,10956,41449
5492,14544,24771,10576,1531
4459,1958,28426,30455,44172
22012,7260,9702,19340,39802
25243,21094,15925,1351,20182
35639,36672,38120,4601,1200
30120,7370,5276,6175,18420
9225,25737,42225,7519,12968
44747,42699,23148,22702,35129
13035,27922,22884,14965,44085
15783,10084,2887,11525,18261
17134,20918,30870,13888,8105
29215,37238,5921,9436,37041
8927,41529,21889,5161,34865
32014,20394,5752,28715,39477
41164,26123,31023,17550,1369
2687,25160,34188,25802,25775
41653,2915,6528,9620,36170
18439,36990,42577,40297,12456
20525,29635,19839,15581,9354
25331,31958,9351,14673,33618
20976,7432,14163,37112,24642
36745,45425,19465,19094,27864
22727,27815,7337,13058,28529
31035,38172,11471,23507,42904
17542,3843,1777,18433,40379
13913,25834,14981,40477,17861
45480,13471,36315,28757,21294
36543,24364,3085,35780,8715
42326,40651,6923,5571,623
15183,25908,9120,19126,13736
6335,20852,9773,14553,9554
40873,21667,38062,3420,9849
8723,12593,12909,40529,35155
20445,38682,7465,9185,22816
23273,20726,34878,44137,1442
1759,46102,8075,11036,15538
41204,31460,32819,11060,34059
13845,28088,23704,14982,4171
7666,8980,13460,36032,2194
23720,7805,23861,2384,28528
30808,29690,9751,22440,41052
37345,25515,21375,26835,23937
25684,32738,5916,6599,2347
26661,31774,18500,35171,17767
27278,6297,36775,44809,11127
39826,45550,4065,9023,19917
13551,31715,38343,42390,24115
7861,28952,22303,23486,25592
31094,36911,42769,17888,33285
32187,43697,26782,11861,41370
36147,5888,27074,14070,37474
40723,39109,38726,33963,34963
2481,5461,21525,6309,34485
4584,30820,28954,26301,16519
15338,24155,35833,34789,33195
27725,29645,11114,25884,42206
44635,18784,15447,8133,44078
3472,38344,29593,21216,16405
9737,42800,10185,10513,38782
23032,18493,13362,46235,15054
17676,42365,34959,3395,24283
11252,45659,31746,20196,9137
21491,43822,43734,23100,12388
1370,23126,28441,20477,38854
35846,44449,32289,23214,44731
17292,35403,3552,12121,22512
10265,1151,31188,26661,13465
34559,35043,37443,42960,18192
31006,38503,37185,14265,5215
25456,8928,43386,9247,36178
40312,20013,25090,6448,36222
18244,15145,28561,2078,29255
12283,35415,31629,41869,21101
14202,40483,43282,30981,14686
2148,1867,29753,2191,3285
10854,25117,45716,43676,33063
25119,25912,18266,2704,18485
34495,10455,16488,4991,26079
37567,3841,27054,10278,22044
13452,19207,18476,37326,11697
35138,9384,62,41910,18693
6837,39119,37982,37210,762
296,13260,38048,16114,5682
8470,35453,26275,33437,35146
18511,16189,13667,38071,44044
8662,26094,7720,34054,45654
26052,43881,8655,31659,16726
46161,25297,8634,37920,12163
31699,3355,27164,23744,21910
22620,29713,37231,18442,16903
19493,37233,28917,11921,5021
11321,14451,45544,42705,33134
26747,35846,7729,1198,46019
24935,4473,14272,28080,36382
7731,13980,39779,11808,6063
39671,7744,18532,7601,10667
37642,1724,15028,33529,7608
21624,18671,25717,33510,4836
37770,39610,37689,23115,22951
30179,19626,17172,33619,44049
1541,44960,41701,9737,11443
5282,13982,32345,206,8075
18586,5673,21300,44847,15401
42063,38590,28343,2335,29915
621,39805,26007,8400,1360
15789,27050,41287,32037,22020
15574,41016,11009,7602,45067
30631,21989,38386,15937,25600
44167,29955,13187,44183,27198
42692,32312,39819,37930,30910
10813,23310,42627,23718,4751
34677,42175,13056,19745,6554
17269,15243,23536,31377,40852
31807,22048,8930,30476,30596
43800,26935,1565,39482,6072
33867,23613,29502,46321,3577
20951,19933,43636,14983,35912
32138,44194,34932,34658,42805
13440,261,7925,12042,35135
2417,29460,32441,33297,14467
33936,43458,36508,12267,33
4786,25285,39275,38838,10450
7178,44296,28002,2888,7969
6478,30882,23593,18494,18790
35666,31253,22438,16108,9184
41616,7061,12345,9995,26034
44765,10671,13734,22708,44385
26269,15512,42986,21251,636
36335,33995,14152,43814,9177
3957,26595,38699,41750,26157
23135,7697,11415,12535,17549
34186,9732,4818,19932,38658
11458,34392,39228,31911,44860
28278,29656,380,40991,39907
34844,5674,39242,16332,5362
13205,33640,9806,41121,5287
43424,35556,20891,31560,11508
29656,27803,11512,29172,1248
22236,27748,14464,24094,39157
22468,3978,23417,35042,39156
30423,18080,7588,31277,43589
20672,20512,32803,25789,17908
43546,35586,20672,4670,21095
4706,13537,12362,3902,33272
12564,45436,5095,8968,9389
39536,25382,5421,34022,45751
20810,2599,21657,25673,1533
26026,9892,20428,7281,9828
3540,16887,32324,3720,26384
41434,43489,18152,11740,7658
26294,26121,1070,30918,24166
35270,15298,36696,10796,30764
36794,12304,42706,26383,18623
25813,9110,27067,45143,40865
2364,14738,33261,23433,15144
30774,23278,26458,10522,36833
26088,10006,7725,37704,10909
40161,23036,4666,546,24661
18803,39494,9703,13143,44149
29244,41365,36983,26194,37463
8991,5738,46154,7011,38220
19637,28478,24288,27825,13220
40829,34176,13668,2477,26046
25048,34247,45071,1087,8125
46287,3267,23363,23261,44977
653,46195,10030,231,19942
28579,1048,89,16286,18780
29631,13014,42984,5876,20948
10118,22482,12910,6284,41907
19280,14759,23890,14749,36902
5328,32748,36999,16068,22642
1675,9323,46162,24934,12769
5110,13754,31093,1916,6733
19846,185,8818,35365,21697
35114,25783,38209,32888,41979
26308,41950,41911,13824,16923
6350,38609,11359,5514,37337
34525,2297,15311,31711,36637
15242,43270,5622,5328,42531
11153,23357,27585,44272,20940
18645,45785,1914,40284,32716
8230,14754,8715,42017,19200
5640,31357,428,6928,34674
4183,37392,1317,45842,44181
32315,11135,41410,15725,12425
45077,44667,31506,20880,36743
5781,2391,27714,22784,24152
36342,42343,16744,28193,14078
31399,19554,36406,19569,21049
25610,5416,2428,16297,20252
40079,45508,674,39454,44894
19972,11413,11940,32059,8697
44991,41277,17448,6513,9210
38874,6541,31926,21459,32300
23663,15500,7453,23106,42267
5167,5018,7507,18050,15852
16586,26391,14873,3523,33001
18098,8387,26825,30171,40707
14208,18065,41587,29997,42061
45536,43772,30313,20868,1296
22472,4124,32066,9526,40086
8199,7519,28935,21270,32878
43555,33512,20665,42313,34084
1499,43175,32907,27823,44466
16859,36994,3288,35192,13377
12559,24702,5890,9241,32470
2563,43559,27913,1085,11970
30998,1193,28059,24794,36216
38679,9422,40711,38129,4748
35069,40626,16101,36256,19353
38183,5593,25005,24603,29126
45089,31584,4441,33065,6855
13444,31256,10744,22349,625
2152,40179,15792,19222,18188
35361,8534,3889,39406,30536
8322,43344,1240,42205,5239
22617,34308,7945,15379,19259
18182,18568,24861,33102,1310
24199,8739,18660,26623,22953
32978,17833,45443,9569,361
41569,28163,25908,14002,11527
23792,2143,8241,28435,46246
32280,40863,35980,5007,35661
27534,15554,29053,26368,16569
4728,3025,4575,42411,14822
15503,4390,8110,30573,29244
44624,17570,5756,43785,18971
38339,10186,15490,12526,10823
24662,14192,32542,23191,29658
36736,18677,24686,12413,6095
21214,374,31613,27968,2110
19795,26111,20628,5163,34959
17328,8050,21246,43419,14852
44719,15118,8364,18649,38958
20364,19870,16579,30263,14313
19592,32259,32771,44956,2418
2106,5731,45269,36078,14823
34405,28519,24770,36304,10937
35038,13346,38613,34059,34746
38707,46012,38049,4869,3036
16134,38359,95,20031,16933
44218,9749,9945,2120,37955
20028,19128,2474,3854,46316
38436,3027,21079,44176,18117
41794,3479,37126,29658,33701
7173,3014,7273,25829,13390
27558,7830,16963,41501,17829
30700,40803,32696,2468,33658
3432,28175,2430,37667,24024
21170,16912,38226,25017,39252
3827,20351,6792,19773,9540
24408,40172,36601,42543,10162
13996,25897,41891,24569,28900
34924,15076,32927,4820,33640
46086,35956,21264,1362,23567
12003,43821,28090,26024,15953
7880,13165,15531,16964,46155
40338,13868,20518,44423,31935
27587,7668,41137,29903,13352
39312,35237,22812,6057,3281
20354,34821,35771,41777,8810
1708,33248,2364,30629,34051
23821,34475,12708,8167,27559
6642,23371,9699,29413,25124
23516,37811,44773,43721,25400
45928,41504,30784,32492,27075
16050,4751,43462,25469,25268
13328,30392,41550,34280,28833
1686,11881,26421,9835,18539
4617,37104,33064,7069,14400
26152,20825,13718,12287,43742
15716,20033,7381,20463,43665
28748,9156,24781,8108,34974
39273,19223,13714,4589,11609
27892,45788,27321,40182,15027
37172,39141,43649,13663,45979
34751,3571,42511,36309,34862
13833,31782,2995,29008,31572
33925,32514,45113,9212,38057
7660,6522,25306,25889,13843
9718,37749,7146,23108,37956
8997,12636,27514,16056,45556
11924,23755,33736,8830,13670
45559,614,43754,23669,41624
39488,24876,11958,39168,24767
19266,30094,24125,3011,20588
28661,37400,15467,7322,25705
7508,2709,8168,31307,11716
27266,9262,42715,1955,4653
40398,42739,30074,37033,42383
11101,41228,12735,36498,41469
8071,537,30032,10618,40814
19559,43902,25879,32360,40098
24705,9118,18987,4871,20826
45040,14556,15833,36839,43514
39158,64,11538,42809,24375
12225,3582,33083,18846,21243
4193,28717,15126,25229,30038
33248,36565,18371,27392,14952
24325,36641,40106,5385,26398
28242,9043,12197,10002,44705
14455,30142,40247,4468,3760
34442,42210,25406,39727,43461
4173,20376,17312,11354,1162
19032,1173,40211,44873,22652
12243,20138,12315,45341,17167
33473,35573,40483,9117,19334
18843,22320,38119,36255,32895
42589,7107,32464,31302,3196
35118,12195,24312,7471,24492
23817,45880,4945,233,41983
26302,19241,16444,22848,10241
35399,11796,37110,43055,12924
45968,4906,42453,3889,10928
37458,43721,39668,44612,14603
36238,2219,16406,27066,23862
22572,33532,27648,26281,5298
29006,34581,15724,27912,6197
15582,40748,985,34287,36821
20197,7377,30133,12030,17062
32360,19089,44621,46146,32712
35876,20517,20556,13014,36719
28738,11104,23093,43429,1315
11082,39804,45195,4987,4287
29555,7356,32838,11669,34637
22189,30144,12948,681,31959
11700,26308,38561,10561,20708
107,37758,41377,9164,6628
42674,6267,31265,34640,10350
4353,9139,15060,23342,43
33353,30919,6909,26331,6308
34152,31807,42793,1144,3012
42064,2087,5294,17354,39338
33330,16888,28325,28860,32293
28241,28564,23251,30355,40948
30525,24706,24637,22343,3473
679,9866,17696,20841,31113
7377,32125,17209,18306,3049
15774,22062,42036,13506,3799
15130,43439,14987,37029,1306
27891,34891,38993,40536,9141
13149,28459,31363,43617,13729
14022,27078,501,32291,37601
8608,31950,28896,26928,25383
18662,17685,22889,411,1991
25124,43690,697,31135,24958
2765,12344,1697,26900,9952
21451,45540,8713,23449,33087
10723,44630,26620,34759,19825
34656,21028,7650,6238,24100
4049,7167,38916,3412,17846
21100,34574,34267,41205,40715
33649,43188,32773,28524,3607
6468,17660,16395,21317,119
8987,7600,9193,18039,2097
8857,22501,15071,2011,20226
40065,12725,43396,34348,38592
15381,2758,32723,6618,21945
7125,38077,33273,38850,33388
34866,38889,24615,17621,46189
5961,3929,45283,8482,4776
26722,41902,8585,29920,14707
39759,37543,41374,37158,14902
29513,26784,28170,19041,4935
28258,19174,12873,27870,36907
22722,5007,15306,24999,3514
11452,38565,11882,43916,39967
39651,3602,34943,4906,22880
32133,961,7716,33507,38156
30575,26172,20593,14278,4270
20409,38722,12664,16915,45261
22192,11149,40287,35000,18128
23239,2419,25466,2655,16586
14910,35351,21828,27262,31531
24973,1461,15278,40031,2737
38076,40429,26176,21972,25994
8067,34970,24419,30683,44976
2721,17022,24958,27644,20338
14103,22322,27485,8634,38959
5307,29768,4558,865,9058
11467,35265,12113,24823,27908
14309,14205,34244,38113,30208
23534,23777,28876,22344,38121
3468,43505,36125,29872,30154
42574,15763,13538,28697,30318
40075,26851,10022,32684,5173
4435,17426,38878,31147,42035
6708,1529,12528,42786,4695
1323,29977,39234,44480,34468
40212,39331,18121,12574,38077
18027,21303,11186,44560,11915
30116,2996,34632,13821,6017
40110,41143,44886,10011,40410
26493,15389,15002,16235,14860
5472,14148,41114,19696,31964
5067,38942,33862,39860,7330
26682,15057,44671,43287,36546
25587,42913,7611,26113,3464
43707,37100,7126,43552,44109
10673,42983,24473,38684,21431
31827,33425,14009,18554,17599
8712,24617,38548,5933,14342
42061,23650,27630,39966,23828
26893,21079,24322,210,5923
38014,13797,475,215,46290
34317,22049,10128,17756,26476
34290,34097,11949,18671,39645
20650,676,31848,15185,7874
20291,21563,8707,20449,30341
24571,8304,31234,25726,38162
37518,38064,34455,39210,13522
775,28674,4366,32967,22631
19616,8379,39396,5658,15533
12861,24096,30182,28003,7257
27418,16047,37900,29573,36446
34264,2151,26082,29314,35242
9793,30207,36468,19865,38226
12275,25376,42445,2138,6428
24311,29776,41797,42324,28968
34883,3463,28014,35077,32075
22794,38509,20184,30961,14099
37160,16032,26623,40153,28077
13102,45607,27053,41711,43828
40334,35809,15576,16517,45841
24987,38139,45884,10067,25624
12544,37297,23418,8334,40103
26628,10443,4004,9501,41475
9161,21961,25328,4546,9194
25111,23174,36686,40787,14526
8700,19890,3614,1910,16336
15511,13236,1335,10153,20513
5041,26315,39922,31895,3488
25088,33461,19353,30136,29715
360,34058,11368,13166,13587
40599,32721,3021,40810,28541
18490,13973,1029,21390,35643
39543,37468,20001,6476,3407
16969,19947,2547,19866,10022
42484,10676,3703,38319,32785
36573,43326,24930,4431,18084
6525,42899,37279,11846,521
30336,25178,38545,12630,16567
37413,2199,12284,18055,27964
25909,21161,3496,33683,2286
11192,685,39,11380,33551
1231,18250,16761,43152,41100
44232,34552,15045,27360,37478
27816,6012,21321,10769,14825
27799,19750,29733,38493,43408
25862,41852,6094,9858,4853
10339,34418,6335,1399,30914
26854,38721,25141,5069,14888
20018,36269,40557,30908,14192
18695,14643,16665,3373,30257
20099,1572,5375,7753,14343
26380,2055,31608,27252,16651
41868,2775,41611,30615,18503
7284,13981,46058,43847,44691
15210,19205,9196,26070,29196
11443,1567,33115,43168,27963
27489,42472,42029,7006,29841
23319,32120,23345,41904,6970
6022,42111,38236,42601,21850
26416,13406,3839,16580,14269
35992,38323,13632,17515,45629
26799,6106,21043,41547,13362
663,39406,18050,24393,29399
30910,8047,30337,38671,35315
27542,20675,26666,2532,15966
28822,20177,17864,33128,6648
23014,35993,1041,19121,10370
18419,12377,8525,19847,24344
33846,31728,735,28799,11830
10191,21029,4918,29888,33737
39534,41521,19079,12201,41078
34190,29973,7942,9765,25345
25974,302,12761,21854,11010
27827,22323,14204,20713,45001
475,38660,36001,27934,38250
42243,34750,40172,45781,13795
25512,14380,13867,38820,31561
30600,23717,30284,39650,42060
3061,15809,29447,28011,10025
19277,23203,31643,41403,23797
22209,30273,24516,38656,1292
32021,8401,6399,45046,37997
19433,36611,11034,11379,28934
24453,37636,3026,34140,35338
16317,21624,34328,10924,25523
37668,6661,28698,30174,27037
42170,44695,5996,15892,41516
44334,17723,16074,17556,15143
17055,34936,560,17088,13530
14829,19191,39408,1067,8134
7358,5201,24842,34036,41664
17564,17449,11191,15297,16106
2850,17761,42091,3534,44936
12601,29879,35905,36638,16322
29029,38303,19172,31896,1479
3734,2595,20066,25771,26062
16775,39160,28964,42783,39608
